x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.000000e+01,1.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
3.000000e+01,1.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
5.000000e+01,1.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
7.000000e+01,1.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
9.000000e+01,1.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.100000e+02,1.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.300000e+02,1.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.500000e+02,1.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.700000e+02,1.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.900000e+02,1.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.000000e+01,3.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
3.000000e+01,3.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
5.000000e+01,3.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
7.000000e+01,3.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
9.000000e+01,3.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.100000e+02,3.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.300000e+02,3.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.500000e+02,3.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.700000e+02,3.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.900000e+02,3.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.000000e+01,5.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
3.000000e+01,5.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
5.000000e+01,5.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
7.000000e+01,5.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
9.000000e+01,5.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.100000e+02,5.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.300000e+02,5.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.500000e+02,5.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.700000e+02,5.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.900000e+02,5.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.000000e+01,7.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
3.000000e+01,7.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
5.000000e+01,7.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
7.000000e+01,7.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
9.000000e+01,7.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.100000e+02,7.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.300000e+02,7.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.500000e+02,7.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.700000e+02,7.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.900000e+02,7.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.000000e+01,9.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
3.000000e+01,9.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
5.000000e+01,9.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
7.000000e+01,9.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
9.000000e+01,9.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.100000e+02,9.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.300000e+02,9.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.500000e+02,9.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
1.700000e+02,9.000000e+01,0.000000e+00,7.500000e+00,7.500000e+00,9.383793e+00,0.000000e+00,0.000000e+00,9.383793e+00
