bridge_id,x1,y1,z1,x2,y2,z2,deck_width,deck_depth,mass_per_length,drag_coeff,side_drag_coeff,natural_freq,damping_ratio,avg_wind_speed,max_wind_speed,vertical_sway_angle,base_shear_force,bending_moment,vortex_shedding_freq,resonance_ratio,max_acceleration,comfort_assessment,time_step
0,10.00,50.00,25.00,90.00,50.00,25.00,30.0000,3.0000,5000.0000,1.2000,0.6000,0.5000,0.0500,9.5780,9.5780,0.2363,161825.9743,161825.9743,0.0319,0.0639,0.0405,0.0809,0
1,50.00,10.00,25.00,50.00,90.00,25.00,30.0000,3.0000,5000.0000,1.2000,0.6000,0.5000,0.0500,9.5780,9.5780,0.2363,161825.9743,161825.9743,0.0319,0.0639,0.0405,0.0809,0
0,10.00,50.00,25.00,90.00,50.00,25.00,30.0000,3.0000,5000.0000,1.2000,0.6000,0.5000,0.0500,9.5780,9.5780,0.2363,161825.9743,161825.9743,0.0319,0.0639,0.0405,0.0809,1
1,50.00,10.00,25.00,50.00,90.00,25.00,30.0000,3.0000,5000.0000,1.2000,0.6000,0.5000,0.0500,9.5780,9.5780,0.2363,161825.9743,161825.9743,0.0319,0.0639,0.0405,0.0809,1
