wire_id,x1,y1,z1,x2,y2,z2,diameter,mass_density,drag_coeff,resistance,emissivity,absorptivity,current,avg_wind_speed,max_wind_speed,total_drag_force,max_drag_force_per_m,conductor_temp_K,max_capacity_A,sway_angle_deg,time_step
0,10.00,50.00,40.00,90.00,50.00,40.00,0.0286,1.6280,1.0000,0.000073,0.5000,0.5000,500.0000,6.4853,6.4853,0.0000,0.0000,326.0875,1057.8066,0.0000,0
1,50.00,10.00,40.00,50.00,90.00,40.00,0.0286,1.6280,1.0000,0.000073,0.5000,0.5000,500.0000,6.4853,6.4853,58.9424,0.7368,315.1218,1293.5143,2.6414,0
0,10.00,50.00,40.00,90.00,50.00,40.00,0.0286,1.6280,1.0000,0.000073,0.5000,0.5000,500.0000,6.4853,6.4853,0.0000,0.0000,326.0875,1057.8066,0.0000,1
1,50.00,10.00,40.00,50.00,90.00,40.00,0.0286,1.6280,1.0000,0.000073,0.5000,0.5000,500.0000,6.4853,6.4853,58.9424,0.7368,315.1218,1293.5143,2.6414,1
