turbine_id,x,y,z_terrain,z_hub,u_ms,v_ms,speed_ms,direction_deg,power_kw,local_ti,time_step
0,20.00,50.00,0.00,40.00,12.9707,0.0000,12.9707,90.00,5000.00,0.0750,0
1,80.00,50.00,0.00,40.00,9.9609,0.0000,9.9609,90.00,4968.70,0.0750,0
